date;categoryName;payee;comment;outcomeAccountName;outcome;outcomeCurrencyShortTitle;incomeAccountName;income;incomeCurrencyShortTitle;createdDate;changedDate;qrCode
2026-05-02;"София";"Школа гимнастики Юная";"Абонемент на гимнастику #дочь";"Т-Банк";"6455.44";RUB;"Т-Банк";"0";RUB;"2026-05-02 18:17:40";"2026-05-02 18:17:40";
2026-05-02;"Еда вне дома";"Вкусно — и точка";"Ужин в Вкусно — и точка";"Т-Банк";"2398.27";RUB;"Т-Банк";"0";RUB;"2026-05-02 17:27:51";"2026-05-02 17:27:51";
2026-05-01;"Транспорт";"Яндекс Такси";"Такси домой после работы";"Т-Банк";"489.88";RUB;"Т-Банк";"0";RUB;"2026-05-01 22:37:46";"2026-05-01 22:37:46";
2026-05-01;"Еда дома";"Самокат";"Самокат, забежали по дороге домой";"Т-Банк";"2783.6";RUB;"Т-Банк";"0";RUB;"2026-05-01 20:31:57";"2026-05-01 20:31:57";
2026-05-01;"Спорт";"World Class";"Абонемент в фитнес-клуб на май";"Т-Банк";"7889.98";RUB;"Т-Банк";"0";RUB;"2026-05-01 11:01:31";"2026-05-01 11:01:31";
2026-05-01;"Еда вне дома";"Cofix";"Кофе с утра #работа";"Т-Банк";"448.02";RUB;"Т-Банк";"0";RUB;"2026-05-01 10:34:58";"2026-05-01 10:34:58";
2026-05-01;"Транспорт";"Bilet cherez SBP na tr";"Пополнение карты Тройка #дочь";"Т-Банк";"717.27";RUB;"Т-Банк";"0";RUB;"2026-05-01 09:21:44";"2026-05-01 09:21:44";
2026-04-30;"Транспорт";"Метро Москвы";"Поездка на метро";"Сбер";"112.45";RUB;"Сбер";"0";RUB;"2026-04-30 20:00:31";"2026-04-30 20:00:31";
2026-04-30;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3566.19";RUB;"Т-Банк";"0";RUB;"2026-04-30 16:36:40";"2026-04-30 16:36:40";
2026-04-30;"Кешбэк";"Т-Банк";"Кешбэк за апрель";"Т-Банк";"0";RUB;"Т-Банк";"1387.56";RUB;"2026-04-30 13:45:04";"2026-04-30 13:45:04";
2026-04-29;"Транспорт";"Яндекс Такси";"Такси с работы";"Т-Банк";"1068.79";RUB;"Т-Банк";"0";RUB;"2026-04-29 15:43:35";"2026-04-29 15:43:35";
2026-04-29;"Еда дома";"Пятёрочка";"Магазин Пятёрочка, на ужин";"Сбер";"4216.59";RUB;"Сбер";"0";RUB;"2026-04-29 12:00:05";"2026-04-29 12:00:05";
2026-04-29;"Кешбэк";"Т-Банк";"Кешбэк за апрель";"Т-Банк";"0";RUB;"Т-Банк";"2517.89";RUB;"2026-04-29 11:43:40";"2026-04-29 11:43:40";
2026-04-29;"Еда вне дома";"Кафе у работы";"Кофе с утра #работа";"Т-Банк";"397.6";RUB;"Т-Банк";"0";RUB;"2026-04-29 08:46:43";"2026-04-29 08:46:43";
2026-04-28;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3566.19";RUB;"Т-Банк";"0";RUB;"2026-04-28 18:33:55";"2026-04-28 18:33:55";
2026-04-28;"Транспорт";"Метро Москвы";"Поездка на метро";"Сбер";"105.8";RUB;"Сбер";"0";RUB;"2026-04-28 18:17:43";"2026-04-28 18:17:43";
2026-04-28;"Еда вне дома";"Шоколадница";"Шоколадница с коллегами #работа";"Т-Банк";"1134.04";RUB;"Т-Банк";"0";RUB;"2026-04-28 12:35:10";"2026-04-28 12:35:10";
2026-04-28;"Еда вне дома";"Cofix";"Кофе с утра #работа";"Т-Банк";"269.01";RUB;"Т-Банк";"0";RUB;"2026-04-28 08:24:02";"2026-04-28 08:24:02";
2026-04-28;"Проценты";"Сбер";"Начисление процентов на накопит. Сбер";"Сбер - Нак.счет";"0";RUB;"Сбер - Нак.счет";"2314.51";RUB;"2026-04-28 01:20:50";"2026-04-28 01:20:50";
2026-04-28;"Проценты";"Т-Банк";"Начисление процентов на накопит. счёт";"Т-Банк - Нак.счет";"0";RUB;"Т-Банк - Нак.счет";"3779.22";RUB;"2026-04-28 00:02:31";"2026-04-28 00:02:31";
2026-04-27;"Машина";"Газпромнефть";"Заправка #машина";"Т-Банк";"5976";RUB;"Т-Банк";"0";RUB;"2026-04-27 12:46:40";"2026-04-27 12:46:40";
2026-04-27;"Еда дома";"Перекрёсток";"Закупка на неделю";"Т-Банк";"4851.33";RUB;"Т-Банк";"0";RUB;"2026-04-27 11:02:53";"2026-04-27 11:02:53";
2026-04-26;"Еда дома";"Ашан";"Ашан #еда";"Сбер";"2649.62";RUB;"Сбер";"0";RUB;"2026-04-26 22:53:07";"2026-04-26 22:53:07";
2026-04-26;"Еда дома";"ВкусВилл";"ВкусВилл #еда";"Т-Банк";"2603.25";RUB;"Т-Банк";"0";RUB;"2026-04-26 12:26:13";"2026-04-26 12:26:13";
2026-04-25;"Еда вне дома";"Яндекс Лавка";"Завтрак в Яндекс Лавка";"Т-Банк";"1436.64";RUB;"Т-Банк";"0";RUB;"2026-04-25 22:29:32";"2026-04-25 22:29:32";
2026-04-25;"Зарплата";"Работа Кати";"Зарплата за апрель (аванс)";"Сбер";"0";RUB;"Сбер";"206843.5";RUB;"2026-04-25 12:20:37";"2026-04-25 12:20:37";
2026-04-25;"";"";"Снятие наличных в банкомате";"Т-Банк";"6954.56";RUB;"Наличные ₽";"6954.56";RUB;"2026-04-25 10:42:13";"2026-04-25 10:42:13";
2026-04-25;"Еда дома";"Окей";"Окей #дочь покупала молоко и хлопья";"Сбер";"4814.69";RUB;"Сбер";"0";RUB;"2026-04-25 08:47:30";"2026-04-25 08:47:30";
2026-04-25;"Еда вне дома";"Tanuki";"Ужин в Tanuki";"Т-Банк";"3549.67";RUB;"Т-Банк";"0";RUB;"2026-04-25 08:19:58";"2026-04-25 08:19:58";
2026-04-24;"Машина";"Лукойл";"Дозаправка по дороге";"Т-Банк";"3569.48";RUB;"Т-Банк";"0";RUB;"2026-04-24 21:25:58";"2026-04-24 21:25:58";
2026-04-24;"Еда дома";"Окей";"Магазин Окей, на ужин";"Сбер";"7712.52";RUB;"Сбер";"0";RUB;"2026-04-24 20:13:25";"2026-04-24 20:13:25";
2026-04-24;"Еда дома";"ВкусВилл";"Магазин ВкусВилл, на ужин";"Сбер";"4389.53";RUB;"Сбер";"0";RUB;"2026-04-24 11:05:00";"2026-04-24 11:05:00";
2026-04-23;"Транспорт";"Билет на Тройку";"Поездка на метро";"Сбер";"99.59";RUB;"Сбер";"0";RUB;"2026-04-23 22:32:03";"2026-04-23 22:32:03";
2026-04-23;"Еда дома";"Лента";"Закупка на неделю";"Т-Банк";"7252.33";RUB;"Т-Банк";"0";RUB;"2026-04-23 19:50:43";"2026-04-23 19:50:43";
2026-04-23;"Одежда";"Uniqlo";"Uniqlo, осенняя коллекция";"Т-Банк";"17639.45";RUB;"Т-Банк";"0";RUB;"2026-04-23 18:49:00";"2026-04-23 18:49:00";
2026-04-23;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3566.19";RUB;"Т-Банк";"0";RUB;"2026-04-23 16:31:00";"2026-04-23 16:31:00";
